Країна,Розділ,Розділ (скор.),Рік,Експорт (тис. дол. США)
Єгипет,"Розділ X Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них","X. Целюлоза, папір, картон",2016,2.4
Єгипет,"Розділ X Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них","X. Целюлоза, папір, картон",2017,64.5
Єгипет,"Розділ X Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них","X. Целюлоза, папір, картон",2018,24.599999999999998
Єгипет,"Розділ X Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них","X. Целюлоза, папір, картон",2019,656.8000000000001
Єгипет,"Розділ X Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них","X. Целюлоза, папір, картон",2020,682.8
Єгипет,"Розділ X Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них","X. Целюлоза, папір, картон",2021,2414.9
Єгипет,"Розділ X Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них","X. Целюлоза, папір, картон",2022,171.6
Єгипет,"Розділ X Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них","X. Целюлоза, папір, картон",2023,0.8
Єгипет,"Розділ X Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них","X. Целюлоза, папір, картон",2024,0.6000000000000001
Єгипет,Розділ XV Недорогоцінні метали та вироби з них,XV. Недорогоцінні метали,2016,872920.1
Єгипет,Розділ XV Недорогоцінні метали та вироби з них,XV. Недорогоцінні метали,2017,537474.1
Єгипет,Розділ XV Недорогоцінні метали та вироби з них,XV. Недорогоцінні метали,2018,622772.9
Єгипет,Розділ XV Недорогоцінні метали та вироби з них,XV. Недорогоцінні метали,2019,504441.2
Єгипет,Розділ XV Недорогоцінні метали та вироби з них,XV. Недорогоцінні метали,2020,211397.30000000002
Єгипет,Розділ XV Недорогоцінні метали та вироби з них,XV. Недорогоцінні метали,2021,218913.1
Єгипет,Розділ XV Недорогоцінні метали та вироби з них,XV. Недорогоцінні метали,2022,104828.3
Єгипет,Розділ XV Недорогоцінні метали та вироби з них,XV. Недорогоцінні метали,2023,12414.1
Єгипет,Розділ XV Недорогоцінні метали та вироби з них,XV. Недорогоцінні метали,2024,182295.30000000002
Єгипет,"Розділ XVІ Машини, обладнання та механізми; електротехнічне обладнання; їх частини; звукозаписувальна та звуковідтворювальна апаратура, апаратура для запису або відтворення телевізійного зображення і звуку, їх частини та приладдя",XVI. Машини та обладнання,2016,26092.6
Єгипет,"Розділ XVІ Машини, обладнання та механізми; електротехнічне обладнання; їх частини; звукозаписувальна та звуковідтворювальна апаратура, апаратура для запису або відтворення телевізійного зображення і звуку, їх частини та приладдя",XVI. Машини та обладнання,2017,9823.4
Єгипет,"Розділ XVІ Машини, обладнання та механізми; електротехнічне обладнання; їх частини; звукозаписувальна та звуковідтворювальна апаратура, апаратура для запису або відтворення телевізійного зображення і звуку, їх частини та приладдя",XVI. Машини та обладнання,2018,8838.4
Єгипет,"Розділ XVІ Машини, обладнання та механізми; електротехнічне обладнання; їх частини; звукозаписувальна та звуковідтворювальна апаратура, апаратура для запису або відтворення телевізійного зображення і звуку, їх частини та приладдя",XVI. Машини та обладнання,2019,9808.4
